#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Zotu187	1	0	1	0	1	0	2	3	0	1	0	4	10	1	0	4	1	4	4	0
Zotu205	1	5	1	1	2	3	1	8	7	2	1	0	0	1	0	2	0	1	0	0
Zotu290	1	1	0	1	0	3	0	7	6	1	2	0	3	0	1	0	2	0	1	0
Zotu222	2	0	0	1	0	0	1	0	0	1	0	1	2	1	1	3	0	3	6	0
Zotu218	1	1	0	0	1	0	0	3	0	1	0	1	9	5	5	2	2	0	0	1
Zotu271	3	1	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	1	2	0
Zotu139	1	5	2	3	4	3	3	0	11	16	2	0	2	0	2	3	4	10	14	0
Zotu177	2	0	1	2	1	2	1	1	4	2	2	6	5	0	1	9	0	0	8	0
Zotu284	1	0	1	1	1	1	0	3	2	0	0	0	0	0	1	0	1	1	0	0
Zotu225	2	0	0	0	0	3	4	2	0	1	1	0	3	1	2	2	1	0	1	0
Zotu230	1	0	5	0	0	1	0	1	1	0	0	0	1	3	0	1	0	9	2	0
Zotu166	1	3	4	2	0	4	2	5	16	9	1	0	0	0	0	3	0	0	1	0
Zotu212	2	0	0	0	0	1	2	5	0	0	0	0	1	1	1	5	0	2	8	0
Zotu286	1	1	0	0	2	4	0	3	2	1	3	1	0	0	0	0	0	0	0	0
Zotu163	1	0	1	0	0	0	0	0	1	1	0	11	23	1	6	4	1	5	6	0
Zotu151	1	3	0	4	1	1	2	3	4	9	3	2	14	2	3	3	0	3	4	0
Zotu127	2	12	1	7	3	3	5	8	10	26	14	1	3	1	1	2	0	0	1	0
Zotu147	2	5	0	6	0	2	2	1	14	22	4	0	6	1	1	1	0	3	2	0
Zotu235	1	2	0	0	0	1	1	4	3	4	3	3	0	0	1	2	0	3	0	0
Zotu105	2	8	3	6	9	8	12	6	22	45	10	0	9	0	4	9	0	2	5	0
Zotu114	5	0	2	0	2	2	7	4	7	10	5	9	31	0	4	6	1	9	5	0
Zotu197	3	0	1	2	1	0	10	1	1	4	2	7	4	0	4	4	0	7	10	0
Zotu146	1	2	1	2	1	3	4	3	6	15	6	4	10	4	2	2	2	3	3	0
Zotu273	1	0	0	0	2	0	0	3	1	1	1	0	2	1	1	0	0	0	0	0
Zotu142	1	2	1	2	0	0	1	8	7	0	1	2	26	56	2	3	0	0	1	0
Zotu196	1	0	0	1	2	0	6	3	6	8	1	0	0	0	0	1	0	0	1	1
Zotu57	0	26	19	21	14	13	5	50	84	34	13	0	0	0	0	0	0	0	0	0
Zotu189	0	2	0	1	1	3	3	5	3	7	0	0	0	0	2	2	0	7	7	0
Zotu75	0	6	12	7	7	10	8	38	10	21	19	2	2	0	11	13	6	20	42	0
Zotu228	0	6	0	1	1	3	0	3	2	8	0	0	1	0	0	1	0	0	2	0
Zotu104	0	9	3	3	3	5	12	12	9	23	11	4	17	4	6	4	1	7	8	0
Zotu96	0	12	2	5	10	10	13	7	19	33	17	1	9	0	4	4	3	3	4	0
Zotu199	0	1	0	0	0	0	0	2	4	5	3	3	5	1	3	1	2	2	0	0
Zotu54	0	16	9	2	20	11	37	84	61	42	39	0	0	0	0	0	0	0	0	1
Zotu285	0	1	0	0	0	0	1	2	2	0	0	0	3	1	0	1	1	0	0	0
Zotu155	0	7	1	2	0	2	3	4	4	10	3	0	16	2	0	1	1	1	3	0
Zotu269	0	3	0	1	3	2	0	9	5	3	5	1	2	1	1	2	0	0	0	0
Zotu109	0	5	1	0	0	3	15	8	4	6	6	0	1	0	19	15	3	19	30	0
Zotu209	0	3	0	1	5	1	0	6	3	1	1	3	0	5	0	1	3	0	3	0
Zotu120	0	9	2	8	1	3	6	8	8	24	9	1	10	9	2	6	2	3	1	0
Zotu239	0	3	0	0	1	2	2	2	1	1	1	4	4	2	1	1	0	1	2	0
Zotu128	0	3	7	2	9	15	9	11	10	5	6	0	0	0	0	0	2	11	5	0
Zotu252	0	1	4	1	1	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0
Zotu130	0	10	0	2	0	1	10	8	9	28	16	0	0	0	0	1	0	2	0	0
Zotu250	0	4	0	1	2	2	1	3	1	4	2	0	0	0	0	0	0	0	0	0
Zotu183	0	3	0	0	2	1	2	1	2	2	1	4	7	1	7	5	1	3	5	0
Zotu61	0	1	0	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	282
Zotu90	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167
Zotu274	0	2	1	1	0	0	1	0	0	1	0	0	0	2	0	1	1	0	4	0
Zotu298	0	1	0	1	1	0	0	2	0	0	0	0	6	1	0	0	0	1	0	0
Zotu191	0	2	0	2	0	1	2	9	1	3	2	3	6	2	1	2	2	4	5	0
Zotu281	0	1	0	0	1	0	0	2	0	0	1	2	5	0	0	3	0	0	2	0
Zotu171	0	3	2	0	1	3	2	5	9	6	4	2	3	0	1	1	0	3	1	0
Zotu237	0	2	1	1	0	2	0	3	4	6	1	0	2	1	1	2	1	1	1	0
Zotu116	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	110
Zotu203	0	1	1	0	0	0	1	1	1	1	1	1	4	0	0	2	2	2	12	0
Zotu101	0	1	0	0	0	1	15	11	10	8	7	0	1	0	19	11	3	24	37	0
Zotu282	0	1	0	0	1	0	0	1	0	8	2	0	0	0	0	0	0	0	0	0
Zotu226	0	2	3	3	2	3	0	5	7	0	1	0	0	0	0	0	0	0	0	0
Zotu182	0	1	1	1	0	2	9	14	3	7	5	0	1	0	0	1	0	0	0	0
Zotu268	0	2	1	1	0	1	1	0	1	5	2	0	0	0	0	0	0	0	0	1
Zotu234	0	1	0	1	1	0	2	3	1	2	1	1	2	1	0	2	0	1	3	0
Zotu62	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	251
Zotu25	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	568
Zotu181	0	2	1	2	5	3	2	15	9	6	5	0	0	0	0	1	1	0	0	0
Zotu223	0	1	0	2	0	0	5	2	1	1	1	5	4	1	2	1	0	0	0	0
Zotu288	0	1	1	0	0	1	1	3	1	0	1	0	0	0	0	0	0	1	0	0
Zotu291	0	2	0	0	0	0	0	0	0	2	0	1	6	0	0	1	0	0	1	0
Zotu227	0	2	2	3	3	4	2	3	6	3	2	0	0	0	0	0	0	0	0	0
Zotu190	0	1	1	0	1	3	0	11	2	6	2	0	0	10	4	1	0	0	1	0
Zotu41	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	349
Zotu258	0	2	0	0	0	2	0	1	0	1	1	0	4	0	3	1	0	0	0	0
Zotu260	0	1	0	0	0	0	0	2	3	1	0	0	0	0	1	0	0	2	4	0
Zotu210	0	1	1	3	0	1	4	8	6	6	1	0	1	0	0	0	0	3	2	0
Zotu164	0	0	3	8	3	15	1	11	8	3	1	0	0	0	0	0	0	0	0	0
Zotu213	0	0	1	0	1	1	0	0	0	3	2	2	1	2	3	4	2	0	5	0
Zotu229	0	0	1	0	0	0	3	1	0	0	0	3	4	1	1	3	1	3	5	0
Zotu276	0	0	2	2	1	2	0	11	7	3	0	0	0	0	0	0	0	0	0	0
Zotu292	0	0	1	0	0	1	0	1	2	0	0	0	0	2	0	1	0	0	0	0
Zotu200	0	0	1	1	1	3	3	4	3	1	3	2	7	1	1	6	2	0	1	0
Zotu141	0	0	1	0	1	1	10	15	5	37	22	0	0	0	0	0	0	0	0	0
Zotu253	0	0	1	0	2	0	5	1	1	3	1	0	0	0	0	0	0	0	0	0
Zotu289	0	0	1	0	0	0	0	0	2	0	0	2	0	3	1	2	0	1	0	0
Zotu240	0	0	1	0	0	0	0	3	5	0	1	3	3	2	2	2	3	2	0	0
Zotu95	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	145
Zotu98	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	135
Zotu56	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	278
Zotu297	0	0	0	1	0	1	0	3	2	0	3	0	0	0	0	0	0	0	0	0
Zotu296	0	0	0	2	1	2	0	3	0	0	0	0	1	0	0	2	2	1	1	0
Zotu266	0	0	0	2	0	0	1	1	1	1	0	1	2	0	1	1	0	1	1	0
Zotu277	0	0	0	2	1	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0
Zotu265	0	0	0	1	0	0	0	1	0	4	1	1	0	0	0	2	0	0	7	0
Zotu67	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	213
Zotu81	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
Zotu38	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	381
Zotu186	0	0	0	0	0	1	0	4	1	3	1	2	12	2	4	3	0	5	6	0
Zotu214	0	0	0	0	0	0	0	2	4	4	1	3	5	1	1	0	1	0	5	0
Zotu278	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	0	1	1	0	0
Zotu267	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	9	0
Zotu280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	6	0
Zotu295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	6	0
Zotu300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0
Zotu84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176
Zotu138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
Zotu47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319
Zotu247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Zotu170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
Zotu175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
